Club,Region,Aforo_Operativo,Capacidad_Wiki,Coordenadas_GPS,Anio_Inauguracion,estadio,valor_m2_usd
Aldosivi,Interior PBA,35180.0,35180.0,"38°01′05″S57°34′56″O﻿ / ﻿-38.017944,-57.582333",1978.0,Jose Maria Minella,2224.7
Argentinos Juniors,CABA Norte,26000.0,22063.0,"34°36′22″S58°28′21″O﻿ / ﻿-34.606028,-58.472583",1940.0,Diego A. Maradona,2184.76
Arsenal de Sarandi,GBA Sur,16300.0,18500.0,"34°40′42″S58°20′25″O﻿ / ﻿-34.678333,-58.340278",1964.0,Julio Humberto Grondona,1272.9
Atle Tucuman,Interior NOA,35200.0,35000.0,"26°48′46″S65°11′57″O﻿ / ﻿-26.812778,-65.199167",1922.0,,
Atletico Tucuman,,,,,,Monumental Jose Fierro,1155.58
Atletico de Rafaela,Interior PBA,20000.0,16500.0,"31°15′03″S61°28′53″O﻿ / ﻿-31.25083333,-61.48138889",1954.0,,
Banfield,GBA Sur,34901.0,21820.0,"34°45′03″S58°23′15″O﻿ / ﻿-34.750847,-58.387544",1940.0,Florencio Sola,2118.35
Barracas Central,CABA Sur,4400.0,12000.0,"34°38′49″S58°23′47″O﻿ / ﻿-34.646888888889,-58.396277777778",1916.0,Claudio Chiqui Tapia,2033.13
Belgrano,Interior Centro,33000.0,38500.0,"31°24′13″S64°12′23″O﻿ / ﻿-31.4035,-64.206272",1929.0,Julio Cesar Villagra,1710.78
Boca Juniors,CABA Sur,54000.0,58840.0,"34°38′08″S58°21′53″O﻿ / ﻿-34.63565,-58.36465",1940.0,La Bombonera,1492.93
Cen. Cordoba-SdE,Interior NOA,30000.0,30000.0,"27°45′57″S64°16′10″O﻿ / ﻿-27.765777777778,-64.269583333333",2021.0,,
Central Cordoba,,,,,,Alfredo Terrera,1269.45
Chacarita Juniors,GBA Norte,26530.0,26000.0,"34°34′03″S58°31′41″O﻿ / ﻿-34.56738889,-58.52816667",1945.0,,
Club Olimpo,Interior PBA,20000.0,18000.0,"38°43′37″S62°16′33″O﻿ / ﻿-38.726944,-62.275833",1942.0,,
Colon,Interior Centro,40000.0,33716.0,"31°39′48″S60°43′31″O﻿ / ﻿-31.663217,-60.725394",1946.0,Brigadier General Estanislao Lopez,1362.12
Defensa y Justicia,GBA Sur,20000.0,12000.0,"34°49′18″S58°17′11″O﻿ / ﻿-34.821753,-58.286511",1978.0,Norberto Tomaghello,1704.0
Deportivo Riestra,CABA Sur,3000.0,8740.0,"34°39′12″S58°26′37″O﻿ / ﻿-34.653333333333,-58.443611111111",1993.0,Guillermo Laza,3065.0
Estudiantes de La Plata,GBA Sur,32530.0,32530.0,"34°54′43″S57°56′20″O﻿ / ﻿-34.912,-57.9389",1907.0,UNO Jorge Luis Hirschi,1834.12
Gimnasia y Esgrima La Plata,GBA Sur,21500.0,30973.0,"34°54′40″S57°55′57″O﻿ / ﻿-34.910975,-57.932592",1924.0,Juan Carmelo Zerillo,1834.12
Godoy Cruz,Interior Cuyo,42500.0,42000.0,"32°53′22″S68°52′48″O﻿ / ﻿-32.889564,-68.879994",1978.0,Feliciano Gambarte,1458.9
Huracan,CABA Sur,48314.0,48314.0,"34°38′37″S58°23′47″O﻿ / ﻿-34.643494,-58.396511",1949.0,Tomas Adolfo Duco,2119.08
Independiente,GBA Sur,42069.0,43187.0,"34°40′13″S58°22′15″O﻿ / ﻿-34.670267,-58.370969",2009.0,Libertadores de America,1313.84
Independiente Rivadavia,Interior Cuyo,24000.0,24000.0,"32°53′27″S68°51′46″O﻿ / ﻿-32.890786,-68.862777",1925.0,,
Instituto,Interior Centro,26000.0,26000.0,"31°23′01″S64°10′49″O﻿ / ﻿-31.3837,-64.1803",1951.0,Juan Domingo Peron,1710.78
Lanus,GBA Sur,47000.0,47090.0,"34°43′04″S58°23′02″O﻿ / ﻿-34.717667,-58.383806",1929.0,Ciudad de Lanus,1754.62
Newell's Old Boys,Interior Centro,42000.0,48700.0,"32°57′22″S60°39′41″O﻿ / ﻿-32.956056,-60.661444",1911.0,Marcelo Bielsa,1364.12
Patronato,Interior Litoral,22000.0,22000.0,"31°44′35″S60°30′27″O﻿ / ﻿-31.743031,-60.507597",1956.0,Presbitero Bartolome Grella,2014.79
Platense,GBA Norte,34430.0,28530.0,"34°32′25″S58°28′54″O﻿ / ﻿-34.54018333,-58.48159444",1979.0,Ciudad de Vicente Lopez,3018.65
Quilmes,GBA Sur,30200.0,32500.0,"34°44′30″S58°15′07″O﻿ / ﻿-34.741778,-58.251889",1995.0,Centenario,1690.57
Racing Club,GBA Sur,51000.0,55880.0,"34°40′03″S58°22′07″O﻿ / ﻿-34.6675,-58.368611",1950.0,Presidente Peron,1313.84
River Plate,CABA Norte,84567.0,85018.0,"34°32′43″S58°26′59″O﻿ / ﻿-34.545277777778,-58.449722222222",1938.0,Mas Monumental,2205.47
Rosario Central,Interior Centro,41465.0,51000202552000.0,"32°54′50″S60°40′28″O﻿ / ﻿-32.913997,-60.674567",1926.0,Gigante de Arroyito,1364.12
San Lorenzo de Almagro,CABA Sur,47964.0,43964.0,"34°39′07″S58°26′24″O﻿ / ﻿-34.652064,-58.440119",1993.0,Pedro Bidegain,2224.29
San Martin (San Juan),,,,,,Hilario Sanchez,699.19
San Martin (Tucuman),Interior NOA,30500.0,26000.0,"26°50′11″S65°13′47″O﻿ / ﻿-26.83628056,-65.22960556",1932.0,La Ciudadela,1155.58
San Martin SJ,Interior Cuyo,19000.0,19000.0,"31°31′11″S68°31′49″O﻿ / ﻿-31.519847,-68.530289",1951.0,,
Sarmiento,Interior Centro,22000.0,23156.0,"34°35′07″S60°55′45″O﻿ / ﻿-34.585356,-60.929278",1951.0,Eva Peron,1748.1
Talleres,Interior Centro,57000.0,57000.0,"31°22′08″S64°14′46″O﻿ / ﻿-31.368956,-64.246244",1978.0,Mario Alberto Kempes,1710.78
Temperley,GBA Sur,26000.0,24000.0,"34°46′56″S58°23′58″O﻿ / ﻿-34.782286,-58.399508",1924.0,,
Tigre,GBA Norte,26282.0,26282.0,"34°26′58″S58°32′32″O﻿ / ﻿-34.449333,-58.542219",1936.0,Jose Dellagiovanna,3251.56
Union,Interior Centro,28000.0,27358.0,"31°37′55″S60°42′57″O﻿ / ﻿-31.631853,-60.715867",1929.0,15 de Abril,1362.12
Velez Sarsfield,CABA Norte,49540.0,49543.0,"34°38′07″S58°31′15″O﻿ / ﻿-34.635375,-58.520711",1943.0,Jose Amalfitani,2202.31
