Club,Ingresos_Anuales_USD_M,Valor_Plantel_USD_M,Eficiencia_Gasto
Boca Juniors,110.5,85.4,0.7728506787330317
River Plate,115.2,92.1,0.7994791666666666
Racing Club,45.8,40.2,0.8777292576419216
Independiente,38.0,32.5,0.8552631578947368
San Lorenzo,35.5,30.1,0.8478873239436621
Talleres-C,32.0,45.3,1.415625
Estudiantes-LP,28.5,25.4,0.8912280701754386
Vélez Sarsfield,27.0,22.1,0.8185185185185185
Rosario Central,25.5,20.5,0.803921568627451
Newell's Old Boys,24.0,18.2,0.7583333333333333
Lanús,22.0,15.4,0.7000000000000001
Huracán,21.5,14.1,0.6558139534883721
Defensa y Justicia,18.5,22.5,1.2162162162162162
Argentinos Juniors,17.2,19.8,1.1511627906976745
Belgrano,16.5,17.5,1.0606060606060606
Unión,14.0,12.0,0.8571428571428571
Colón,13.5,11.5,0.8518518518518519
Atlético Tucumán,12.8,10.8,0.84375
Godoy Cruz,12.5,14.5,1.16
Gimnasia-LP,12.0,13.2,1.0999999999999999
Banfield,11.5,12.4,1.0782608695652174
Platense,9.8,8.5,0.8673469387755102
Tigre,9.5,10.2,1.0736842105263158
Sarmiento-J,8.2,7.8,0.951219512195122
Central Córdoba-SdE,7.5,7.2,0.9600000000000001
Barracas Central,7.0,8.1,1.157142857142857
Deportivo Riestra,6.5,5.5,0.8461538461538461
Ind. Rivadavia,6.0,6.2,1.0333333333333334
